ID,Core Element,Core Element Definition,TCFD Recommended Disclosure Item,TCFD Recommended Disclosure Item Definition,TCFD Recommended Disclosure Guideline,Scoring Criterion for TCFD Recommended Disclosure ,Scoring Definition for TCFD Recommended Disclosure Criterion ,Scoring Method for TCFD Recommended Disclosure Criterion ,Sample TCFD Recommended Disclosure Criterion Answer,
1,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-01: Process of reporting to the board on climate-related issues,"Does it describe the processes by which the board and/or board committee  (e.g. audit, risk, or other committees) are informed about climate related issues?","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Citigroup
Environmental and Social Advisory Council (ESAC) and other goals and programmes
Board Oversight
Citi actively manages how climate change factors into our decisions and who in our corporate structure is responsible for climate-related decisions. Given the importance of this topic, the Citi Board of Directors provides oversight of climate change through our Nomination, Governance and Public Affairs Committee (NGPAC), with ample support from management and other business units.
The Committee oversees our global citizenship and sustainability activities and performance, including as related to climate change. Examples of the initiatives the Committee oversees include our $100 Billion Environmental Finance Goal and the decision to prepare this report. For more information on the roles and responsibilities of the committee, please see our NGPAC Charter.
https://www.citigroup.com/citi/sustainability/data/finance-for-a-climate-resilient-future.pdf (page 24)
2. National Australia Bank
ESG risks, including climate change, are identified, measured, monitored, reported and overseen in accordance with the Group’s Risk Management Framework (as described in the Group’s Risk Management Strategy). The Group Non-Financial Risk Committee has oversight of these risks, including climate-related risks, and the Group’s environmental performance and Environmental Agenda. The Group Credit and Market Risk Committee oversees financial risk and ESG risks, including climate-related risks, in the context of the credit risk portfolio. This includes credit policy settings for climate intensive, low-carbon and climate-sensitive sectors. Matters are escalated to the Executive Risk Committee, Board Risk Committee and Board as required. The Group's Climate Change Working Group (CCWG), which consists of management representatives from across the Group, reviews the key risks and opportunities facing the Group and its customers arising from climate change and the Paris Agreement, and monitors and supports the implementation of the Group’s climate change strategy. Updates on implementation of the Group's climate change strategy are reported by the CCWG through to management, executive and the Board.
https://www.nab.com.au/content/dam/nabrwd/documents/reports/corporate/2019-annual-financial-report-pdf.pdf (page 38)",
2,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-02: Frequency of reporting to the board on climate-related issues,"Does it quantitively describe the frequency by which the board and/or board committee (e.g. audit, risk, or other committees) are informed about climate related issues ?","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. CIMB Bank
To promote CIMB’s sustainability agenda, the Board has designated a Sustainability Sponsor to advise and recommend to the Board appropriate business strategies from the aspect of sustainability, and act as a sustainability advocate within the institution and externally. The Board discusses sustainability matters on a regular basis, and discloses the matters discussed in its Annual Report.
Read more about CIMB Annual Report here:
https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-general-meeting/2021/cimb-ar-2020.pdf",
3,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-03: Consideration of climate-related issues by the board,"Did the board or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures?","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Barclays Bank PLC
Barclays’ consideration for board oversight
Board Risk Committee focus on climate
In 2019, the Board Risk Committee reviewed the significant enhancements the Group has made in its approach to the management of the risks of climate change. Both physical and transition risks, across all portfolios, were considered in the context of a severe but plausible climate stress. This analysis will support the Group’s response to the forthcoming Bank of England industry-wide stress test. This progress was welcomed whilst acknowledging the need for risk management practices generally to evolve further across the whole industry in respect of climate change risk.
Environmental and Social Impact Committee
Demonstrating the growing strategic importance of these issues, the Group Executive Committee created the Environmental and Social Impact (ESI) Committee in June 2019 to provide senior oversight and set the overall direction of Barclays’ strategy to manage its broader social and environmental impacts. Chaired by the Group Chief Executive, with representation from business and function leadership, the Committee provides strategic management oversight, sets a firm-wide approach on key-topics and monitors execution against priorities.
https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf (page 44)",
4,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-04: How the board monitors and oversees progress,"Does it describe that the Board of Directors provides monitoring or oversight on the status of efforts to address climate related issues? The term ""monitoring or oversight"" here does not include merely receiving reports or promoting activities.","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Citigroup
Environmental and Social Advisory Council (ESAC) and other goals and programmes
Senior Management Responsibilities
At the senior executive level, corporate citizenship at Citi is led by the Director of Corporate Citizenship. The Director provides progress reports to the NGPAC at least annually on issues, trends and results pertaining to some of the company’s most important citizenship and sustainability issues. The progress reports include updates on the implementation of Citi’s Sustainable Progress Strategy, which focuses on climate change and other sustainability issues, and our global and regional sustainability initiatives.
The Global Head of Sustainability oversees Citi’s Sustainable Progress Strategy and also collaborates with a range of senior leaders to enable the development and implementation of climate-related metrics and targets, as well as other goals and programs that generate a positive impact on society.
The Environmental and Social Advisory Council (ESAC), a senior executive level advisory council, provides guidance on environmental and social issues related to global business activities, including advising on the Sustainable Progress Strategy. The Council is chaired by a senior executive in our Institutional Clients Group and includes executives from our Banking, Risk, Public Affairs, Operations, Corporate Sustainability and Environmental and Social Risk Management (ESRM) groups. Our ESAC holds meetings approximately three times per year. Citi also has a cross-functional Climate and Sustainability Council, based in London, focused specifically on our sustainability performance in Europe, the Middle East and Africa.
https://www.citigroup.com/citi/sustainability/data/finance-for-a-climate-resilient-future.pdf (page 24)
2. ING Group
Climate Change Committee
ING’s Climate Change Committee (CCC) is mandated to oversee and set priorities for the implementation of the TCFD recommendations and other strategic climate-related topics that impact the group. For details please refer to our approach to climate governance.
https://www.ing.com/Sustainability/The-world-around-us-1/Reporting.htm
Climate Governance
ING has instituted a Climate Change Committee (CCC) chaired by ING’s chief risk officer and Management Board Banking member, and co-chaired by the board member responsible for Wholesale Banking. It is further comprised of a number board members and senior managers from the Wholesale and Retail businesses. The CCC is advised by an internal Climate Expert Group (CEG) comprising experts from Wholesale Banking front office, global Sustainability, and Risk. The CCC is responsible for:
o Mandating processes for identifying and managing climate-related risks and opportunities.
- Guiding climate-related policies, strategy, objective-setting and performance monitoring.
- Monitoring and overseeing progress on relevant goals and targets.
- Guiding external disclosures.
The CCC meets six times per year and follows an agenda prepared by the CEG, which meets monthly.
https://www.ing.com/Sustainability/Sustainability-direction/Sustainability-governance.htm",
5,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-01: Organizational structure,"Does it describe whether the organisation assigned climate-related responsibilities to management-level positions or committees. If so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues. In addition, in describing management’s role related to the assessment and management of climate-related issues, did the organisation include:
- A description of the associated organisational structure(s)
- Processes by which management is informed about climate-related issues","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","Nordea Bank Danmark A/S
Group Sustainable Finance
Sustainability Governance facilitating Decision-Making
At Board level, the Board Operations and Sustainability Committee assist the Board in fulfilling its oversight responsibilities concerning sustainability, operations/systems and resilience, as well as related frameworks and processes. Our governance structure encompasses a monitoring function chaired by the CEO – the Business Ethics and Value Committee – that reviews relevant Group internal Rules as well as participation in and exit form commitments to sustainability and/or approves external position statements and sector guidelines. This governance structure allows Board, relevant management committees and senior management to integrate climate-related risk and opportunities and other sustainability issues into decision-making and business process. Each business area and group function is represented in the Sustainability Committee. The committee prepares sustainability issues related to policies, guideline and strategy, which the business areas and group functions are then responsible for implementing in the business.
https://www.nordea.com/Images/33-353222/nordea-sustainability-report-2019.pdf (page 10)",
6,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-02: Process by which management is informed about climate-related issues,Does it describe the process by which management receives information on climate related issues?,"0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Nordea Bank Danmark A/S
Group Sustainable Finance
Sustainability Governance facilitating Decision-Making
At Board level, the Board Operations and Sustainability Committee assist the Board in fulfilling its oversight responsibilities concerning sustainability, operations/systems and resilience, as well as related frameworks and processes. Our governance structure encompasses a monitoring function chaired by the CEO – the Business Ethics and Value Committee – that reviews relevant Group internal Rules as well as participation in and exit form commitments to sustainability and/or approves external position statements and sector guidelines. This governance structure allows Board, relevant management committees and senior management to integrate climate-related risk and opportunities and other sustainability issues into decision-making and business process. Each business area and group function is represented in the Sustainability Committee. The committee prepares sustainability issues related to policies, guideline and strategy, which the business areas and group functions are then responsible for implementing in the business.
https://www.nordea.com/Images/33-353222/nordea-sustainability-report-2019.pdf (page 10)",
7,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-03: How management monitors climate-related issues,"Does it describe that management provides monitoring or oversight of efforts to address climate related issues? The term ""monitoring or oversight"" here does not include receiving reports or promoting activities.","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Shinhan Financial Group
Corporate Social Responsibility Committee
Governance
Shinhan Financial Group has a CSR Committee in place that takes care of issues pertaining to climate change in line with the Group’s sustainability management in an integrated way. Established in May 2015, the Committee has the power to make a final decision on behalf of the Group and leads the way in taking action against ever aggravating climate change and in creating enterprise-wide environmental values with systematic environmental management undertakings. As an umbrella body of the Board of Directors (BOD), the CSR Committee reviews climate change related countermeasures, policies, plans for company-wide activities, projects and others by holding three regular meetings per year. Also, it is responsible for checking and monitoring short and long-term targets and performance via the Risk Management Committee.
http://www.shinhangroup.com/kr/common/download/commonDownload.jsp?actionValue=PDF&pathKey=CSRREPORT&fileName=2018_report_eng_download.pdf (page 24)
2. Citigroup Inc.
Citigroup’s ESAC and other goals and programmes
Senior Management Responsibilities
At the senior executive level, corporate citizenship at Citi is led by the Director of Corporate Citizenship. The Director provides progress reports to the NGPAC at least annually on issues, trends and results pertaining to some of the company’s most important citizenship and sustainability issues. The progress reports include updates on the implementation of Citi’s Sustainable Progress Strategy, which focuses on climate change and other sustainability issues, and our global and regional sustainability initiatives.
The Global Head of Sustainability oversees Citi’s Sustainable Progress Strategy and also collaborates with a range of senior leaders to enable the development and implementation of climate-related metrics and targets, as well as other goals and programs that generate a positive impact on society.
The Environmental and Social Advisory Council (ESAC), a senior executive level advisory council, provides guidance on environmental and social issues related to global business activities, including advising on the Sustainable Progress Strategy. The Council is chaired by a senior executive in our Institutional Clients Group and includes executives from our Banking, Risk, Public Affairs, Operations, Corporate Sustainability and Environmental and Social Risk Management (ESRM) groups. Our ESAC holds meetings approximately three times per year. Citi also has a cross-functional Climate and Sustainability Council, based in London, focused specifically on our sustainability performance in Europe, the Middle East and Africa.
https://www.citigroup.com/citi/sustainability/data/finance-for-a-climate-resilient-future.pdf (page 24)
",
8,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-01: Time horizon(s) for the consideration of climate-related risks and opportunities,"Does it describe what the organisation considers to be the relevant short, medium, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms?","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. HSBC Holdings PLC
HSBC Sustainable Risk Policies
Our sustainability risk policies are focused on sectors that may have high adverse impacts on people or the environment and in which we have a significant number of customers.
These policies cover agricultural commodities, chemicals, defence, energy, forestry, mining and metals, UNESCO World Heritage Sites, and Ramsar-designated wetlands. These policies define our appetite for business in these sectors, and seek to encourage customers to meet good international standards of practice. Where we identify activities that could cause material negative impacts, we will only provide finance if we can confirm customers are managing these risks responsibly. Such customers are subject to greater due diligence and generally require additional approval by sustainability risk specialists. We will not provide finance if the business activities are not aligned to our aims and values.
Our sustainability policies are being aligned with our approach to climate risk, which is being enhanced during 2020.
https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2019/annual/pdfs/hsbc-holdings-plc/200218-esg-update-2019.pdf (page 42)
Supporting the transition to a low-carbon economy is a key part of HSBC’s strategy, and new products have been offered to facilitate this, along with a pledge to provide $100bn of sustainable finance by 2025. To date, we have reached $28.5bn of that goal. For further information, see pages 26 and 28. We recognise many clients across sectors are making significant shifts towards the low-carbon economy. During 2019, we intend to develop new metrics to help measure these activities, with an aim to publish in next year’s disclosure.
https://www.hsbc.com/our-approach/esg-information",
9,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-02: Climate-related issues in each specified time horizon,"Does it describe the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks. In addition, does it describe the significant concentrations of credit exposure to carbon-related assets","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. BNP Paribas Asset Management (BNP)
Short-term (ST, i.e. within the year), medium term (MT, i.e. between two and five years) or long term (LT, i.e. after five years).
https://group.bnpparibas/uploads/file/bnpparibas_tcfd_report_en.pdf (page 27)",
10,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-03: Process for determining risks and opportunities with a financial impact,"Does it describe the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation? In addition, does it describe the organisation’s risks and opportunities by sector and/or geography, if appropriate?","0 point for missing information disclosure on the TCFD Recommended Disclosure Criterion, 1 point for below average information discloure, 2 points for average information disclosure, 3 points for above average information disclosure and 4 points for complete information disclosure","1. Société Générale
Société Générale Ceased Offering Certain Financial Services and Products
Societe Generale has not participated in any dedicated financing for coal-fired power plants or related infrastructures anywhere in the world since 1st January 2017. Moreover, it has not been involved in any dedicated financing for the development of coal mines and related infrastructures since 2015.
In addition, specific criteria for establishing new relationships with companies that operate in the coal sector have been defined in dedicated sector policies. Moreover, since May 2019, Societe General will not provide new services or products to companies (customers and prospects):
• whose activity in coal-power generation is greater than 50% (in terms of turnover);
• whose activity in the coal-power generation is between 30% and 50% (in terms of turnover), and that have no strategy to reduce it to 30% by 2025, or that have planned expansion of their capacities in thermal coal (extraction or production of electricity).
In 2018, the Oil and Gas policy was updated. The Group committed to finance only those activities in the oil and gas sector that have a mitigated impact on the climate. In particular, Societe Generale will no longer finance activities relating to the production of oil from oil sands anywhere in the world or to the production of oil in the Arctic. These commitments also target the implementation or commitment to implement measures to limit continuous flaring and methane emissions. For companies using fracking techniques, they also include the implementation of best E&S practices in line with the Golden Rules of the International Energy Agency (IEA).
https://www.societegenerale.com/sites/default/files/documents/Rapport-integre/2019/ri_sg_2019_eng.pdf (page 55)",
