ID,Core Element,Core Element Definition,TCFD Recommended Disclosure Item,TCFD Recommended Disclosure Item Definition,TCFD Recommended Disclosure Guideline,TCFD Recommended Disclosure Criterion ,TCFD Recommended Disclosure Criterion Definition
1,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-01: Process of reporting to the board on climate-related issues,"Does it describe the processes by which the board and/or board committee  (e.g. audit, risk, or other committees) are informed about climate related issues?"
2,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-02: Frequency of reporting to the board on climate-related issues,"Does it quantitively describe the frequency by which the board and/or board committee (e.g. audit, risk, or other committees) are informed about climate related issues?"
3,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-03: Consideration of climate-related issues by the board,"Did the board or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures?"
4,Governance,Disclose the organization’s governance around climate related risks and opportunities,Board oversight,Describe the board’s oversight of climate related risks and opportunities,"In describing the board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
1. Processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues,
2. Whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures, and
3. How the board monitors and oversees progress against goals and targets for addressing climate-related issues.",01-04: How the board monitors and oversees progress,"Does it describe that the Board of Directors provides monitoring or oversight on the status of efforts to address climate related issues? The term ""monitoring or oversight"" here does not include merely receiving reports or promoting activities."
5,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-01: Organizational structure,"Does it describe whether the organisation assigned climate-related responsibilities to management-level positions or committees. If so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues. In addition, in describing management’s role related to the assessment and management of climate-related issues, did the organisation include:
- A description of the associated organisational structure(s)
- Processes by which management is informed about climate-related issues"
6,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-02: Process by which management is informed about climate-related issues,Does it describe the process by which management receives information on climate related issues?
7,Governance,Disclose the organization’s governance around climate related risks and opportunities,Management's role,Describe management’s role in assessing and managing climate related risks and opportunities,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
1. Whether the organisation has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues,
2. A description of the associated organisational structure(s),
3. Processes by which management is informed about climate-related issues, and
? how management (through specific positions and/or management committees) monitors climate-related issues.",02-03: How management monitors climate-related issues,"Does it describe that management provides monitoring or oversight of efforts to address climate related issues? The term ""monitoring or oversight"" here does not include receiving reports or promoting activities."
8,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-01: Time horizon(s) for the consideration of climate-related risks and opportunities,"Does it describe what the organisation considers to be the relevant short, medium, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms?"
9,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-02: Climate-related issues in each specified time horizon,"Does it describe the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks. In addition, does it describe the significant concentrations of credit exposure to carbon-related assets"
10,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material",Risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term","Organisations should provide the following information:
1. A description of what they consider to be the relevant short-, medium-, and long term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms,
2. A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation and distinguish whether the climate-related risks are transition or physical risks, and
3. A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.
Organisations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.",03-03: Process for determining risks and opportunities with a financial impact,"Does it describe the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation? In addition, does it describe the organisation’s risks and opportunities by sector and/or geography, if appropriate?"
11,Strategy,"Disclose the actual and potential impacts of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning where such information is material","Impact on businesses, strategy, and financial planning","Describe the impact of climate related risks and opportunities on the organization’s businesses, strategy, and financial planning","Organisations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning. Organisations should consider including the impact on their businesses and strategy in the following areas:
- Products and services
- Supply chain and/or value chain
- Adaptation and mitigation activities
- Investment in research and development
- Operations (including types of operations and location of facilities)
Organisations should describe how climate-related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritized. Organisations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time. Organisations should also consider including in their disclosures the impact on financial planning in the following areas:
- Operating costs and revenues
- Capital expenditures and capital allocation
- Acquisitions or divestments
- Access to capital
If climate-related scenarios were used to inform the organisation’s strategy and financial planning, such scenarios should be described.",04-01: Impact on businesses or strategy,"Does it describe the impact of climate related issues on the business or strategy? Examples of such impact destinations include ""products and services,"" ""supply and value chains,"" ""adaptation and mitigation activities,"" ""R&D related investments,"" and ""business operations (including the type of business and location of facilities)."""
